"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m²)","PAR (µmol/m²/s)","max. PAR (µmol/m²/s)","Tlog (degC)","CO2 (ppm)"
01.07.2020 12:00:00,  982.39,   24.19,  298.85,   13.59,   51.57,   30.23,   15.59,   14.64,    9.93,   15.87, 1144.05,    6.09,    9.05,  208.80,    0.00,    0.00,  835.28, 1699.48, 2189.56,   33.46,  402.60
01.07.2020 12:10:00,  982.27,   24.32,  299.00,   13.50,   50.86,   30.47,   15.49,   14.97,    9.87,   15.77, 1143.45,    7.01,   11.44,  211.10,    0.00,    0.00,  824.89, 1698.94, 2212.77,   33.63,  403.10
01.07.2020 12:20:00,  982.25,   24.40,  299.08,   13.45,   50.46,   30.61,   15.45,   15.16,    9.84,   15.73, 1143.14,    7.55,   11.32,  207.40,    0.00,    0.00,  891.80, 1815.05, 2102.34,   33.81,  403.30
01.07.2020 12:30:00,  982.18,   24.61,  299.30,   13.52,   50.07,   31.00,   15.52,   15.48,    9.89,   15.80, 1142.22,    6.53,   11.32,  209.70,    0.00,    0.00,  886.56, 1822.59, 2044.64,   33.96,  403.50
01.07.2020 12:40:00,  982.12,   24.78,  299.47,   13.57,   49.70,   31.31,   15.56,   15.75,    9.92,   15.85, 1141.48,    7.28,   10.53,  212.00,    0.00,    0.00,  956.28, 1931.95, 2075.06,   34.14,  403.70
01.07.2020 12:50:00,  982.13,   24.88,  299.57,   13.83,   50.27,   31.50,   15.84,   15.67,   10.09,   16.12, 1140.99,    5.20,    9.03,  214.80,    0.00,    0.00,  735.87, 1516.24, 2079.57,   34.33,  403.10
01.07.2020 13:00:00,  982.08,   25.16,  299.86,   13.88,   49.59,   32.03,   15.88,   16.15,   10.12,   16.17, 1139.84,    5.63,    8.63,  218.40,    0.00,    0.00,  869.81, 1795.65, 2119.18,   34.55,  403.00
01.07.2020 13:10:00,  982.00,   25.40,  300.11,   13.92,   49.03,   32.49,   15.93,   16.56,   10.15,   16.22, 1138.81,    5.37,    9.06,  220.70,    0.00,    0.00,  736.35, 1470.73, 2075.03,   34.80,  403.00
01.07.2020 13:20:00,  981.95,   25.22,  299.93,   13.72,   48.89,   32.15,   15.72,   16.43,   10.02,   16.00, 1139.53,    6.17,    8.61,  217.80,    0.00,    0.00,  706.57, 1442.51, 2372.06,   35.09,  403.60
01.07.2020 13:30:00,  981.91,   25.24,  299.95,   13.80,   49.10,   32.18,   15.80,   16.38,   10.07,   16.09, 1139.37,    5.42,    7.88,  218.10,    0.00,    0.00,  666.96, 1396.77, 2345.63,   35.28,  403.30
01.07.2020 13:40:00,  981.73,   25.45,  300.18,   13.68,   48.10,   32.59,   15.67,   16.91,    9.99,   15.97, 1138.42,    5.76,    9.53,  208.10,    0.00,    0.00,  610.00, 1252.71, 2447.39,   35.42,  403.40
01.07.2020 13:50:00,  981.63,   25.66,  300.40,   13.81,   47.91,   33.00,   15.81,   17.19,   10.08,   16.10, 1137.44,    5.72,    8.58,  220.80,    0.00,    0.00,  548.76, 1098.02, 2412.16,   35.57,  403.10
01.07.2020 14:00:00,  981.50,   25.88,  300.63,   13.95,   47.73,   33.43,   15.96,   17.47,   10.17,   16.26, 1136.39,    4.78,    8.96,  231.00,    0.00,    0.00,  851.84, 1739.99, 2268.08,   35.72,  402.40
01.07.2020 14:10:00,  981.34,   26.25,  301.02,   13.97,   46.75,   34.17,   15.97,   18.19,   10.19,   16.28, 1134.79,    4.86,   10.26,  224.90,    0.00,    0.00,  717.62, 1452.17, 2255.83,   35.93,  402.40
01.07.2020 14:20:00,  981.27,   26.60,  301.38,   14.26,   46.68,   34.88,   16.28,   18.60,   10.39,   16.59, 1133.25,    3.83,    6.76,  234.10,    0.00,    0.00,  539.50, 1098.24, 2166.48,   36.21,  401.70
01.07.2020 14:30:00,  981.20,   26.58,  301.36,   14.10,   46.25,   34.84,   16.11,   18.73,   10.28,   16.42, 1133.32,    4.08,    8.04,  240.10,    0.00,    0.00,  413.84,  819.45, 2117.09,   36.50,  401.80
01.07.2020 14:40:00,  981.18,   26.53,  301.31,   13.76,   45.37,   34.74,   15.76,   18.98,   10.05,   16.06, 1133.64,    4.61,    7.20,  215.10,    0.00,    0.00,  563.64, 1135.20, 2083.82,   36.73,  402.80
01.07.2020 14:50:00,  981.11,   27.15,  301.94,   13.67,   43.50,   36.02,   15.67,   20.35,    9.99,   15.97, 1131.26,    6.13,   10.31,  218.90,    0.00,    0.00,  830.87, 1665.61, 1994.47,   36.87,  403.10
01.07.2020 15:00:00,  981.08,   27.55,  302.35,   13.86,   43.03,   36.88,   15.87,   21.01,   10.12,   16.17, 1129.63,    5.15,    8.63,  224.10,    0.00,    0.00,  838.21, 1674.49, 1793.08,   37.04,  402.60
01.07.2020 15:10:00,  980.94,   27.43,  302.24,   13.67,   42.80,   36.62,   15.67,   20.95,   10.00,   15.98, 1130.00,    6.14,    9.10,  221.50,    0.00,    0.00,  558.80, 1120.17, 1772.11,   37.27,  402.80
01.07.2020 15:20:00,  980.76,   27.38,  302.20,   13.29,   41.87,   36.51,   15.29,   21.22,    9.75,   15.59, 1130.15,    7.12,   10.73,  219.10,    0.00,    0.00,  726.20, 1456.14, 1746.29,   37.45,  403.60
01.07.2020 15:30:00,  980.69,   27.46,  302.29,   13.39,   41.95,   36.68,   15.39,   21.29,    9.82,   15.69, 1129.73,    5.66,    9.49,  217.60,    0.00,    0.00,  599.07, 1195.75, 1636.49,   37.50,  403.40
01.07.2020 15:40:00,  980.56,   27.67,  302.51,   13.56,   41.89,   37.13,   15.56,   21.58,    9.93,   15.86, 1128.71,    6.06,   10.11,  216.30,    0.00,    0.00,  561.74, 1118.56, 1587.46,   37.54,  403.10
01.07.2020 15:50:00,  980.46,   27.83,  302.68,   13.50,   41.33,   37.48,   15.49,   21.99,    9.89,   15.80, 1128.03,    5.96,    8.04,  225.30,    0.00,    0.00,  460.17,  931.14, 1502.26,   37.57,  403.00
01.07.2020 16:00:00,  980.40,   27.81,  302.67,   13.56,   41.55,   37.44,   15.56,   21.88,    9.93,   15.87, 1128.00,    5.32,    9.29,  228.90,    0.00,    0.00,  634.11, 1253.13, 1443.72,   37.59,  402.80
01.07.2020 16:10:00,  980.43,   27.78,  302.64,   13.67,   41.92,   37.37,   15.67,   21.71,   10.00,   15.98, 1128.10,    4.38,    6.99,  231.00,    0.00,    0.00,  222.82,  462.43, 1359.03,   37.62,  402.70
01.07.2020 16:20:00,  980.35,   27.38,  302.24,   13.62,   42.77,   36.51,   15.62,   20.90,    9.97,   15.93, 1129.53,    5.08,    9.55,  217.50,    0.00,    0.00,  450.02,  903.93, 1415.98,   37.63,  403.00
01.07.2020 16:30:00,  980.35,   27.84,  302.70,   13.34,   40.90,   37.50,   15.34,   22.17,    9.79,   15.65, 1127.93,    4.77,    8.51,  232.50,    0.00,    0.00,  559.34, 1117.07, 1211.46,   37.57,  403.30
01.07.2020 16:40:00,  980.34,   28.09,  302.96,   13.68,   41.19,   38.05,   15.67,   22.38,   10.01,   15.99, 1126.83,    3.37,    5.54,  223.40,    0.00,    0.00,  294.63,  597.43, 1158.74,   37.61,  403.30
01.07.2020 16:50:00,  980.28,   27.67,  302.54,   13.79,   42.53,   37.13,   15.79,   21.34,   10.08,   16.11, 1128.29,    4.89,    7.78,  227.90,    0.00,    0.00,  413.40,  826.83, 1100.64,   37.73,  403.10
01.07.2020 17:00:00,  980.23,   27.69,  302.56,   13.68,   42.17,   37.18,   15.68,   21.50,   10.01,   15.99, 1128.20,    4.85,    7.49,  215.00,    0.00,    0.00,  285.47,  581.31, 1054.66,   37.78,  403.00
01.07.2020 17:10:00,  980.23,   27.40,  302.27,   13.86,   43.40,   36.55,   15.86,   20.69,   10.13,   16.18, 1129.21,    4.29,    7.26,  220.50,    0.00,    0.00,  149.81,  317.76, 1019.40,   37.77,  403.20
01.07.2020 17:20:00,  980.19,   27.04,  301.91,   14.09,   44.99,   35.79,   16.10,   19.69,   10.28,   16.43, 1130.41,    2.03,    3.72,  241.80,    0.00,    0.00,  129.30,  272.37,  481.45,   37.68,  403.20
01.07.2020 17:30:00,  980.08,   26.97,  301.85,   14.14,   45.31,   35.64,   16.15,   19.49,   10.31,   16.48, 1130.53,    2.34,    3.93,  227.30,    0.00,    0.00,  139.08,  294.01,  375.72,   37.54,  403.10
01.07.2020 17:40:00,  980.01,   27.30,  302.19,   13.95,   43.91,   36.34,   15.96,   20.38,   10.19,   16.28, 1129.29,    2.83,    4.78,  233.20,    0.00,    0.00,  374.60,  744.61,  877.59,   37.42,  403.70
01.07.2020 17:50:00,  979.99,   27.85,  302.75,   13.50,   41.29,   37.53,   15.49,   22.03,    9.89,   15.81, 1127.41,    3.45,    6.99,  227.80,    0.00,    0.00,  220.08,  462.12,  719.82,   37.40,  404.70
01.07.2020 18:00:00,  980.00,   27.69,  302.58,   13.29,   41.12,   37.18,   15.29,   21.89,    9.76,   15.60, 1128.11,    4.56,    8.30,  215.70,    0.00,    0.00,  308.69,  612.42,  651.33,   37.46,  405.50
01.07.2020 18:10:00,  980.00,   27.81,  302.70,   13.28,   40.81,   37.44,   15.28,   22.16,    9.75,   15.59, 1127.66,    3.68,    6.26,  230.40,    0.00,    0.00,  274.23,  544.83,  595.30,   37.50,  405.70
01.07.2020 18:20:00,  980.01,   27.91,  302.80,   13.27,   40.53,   37.66,   15.26,   22.40,    9.74,   15.57, 1127.31,    3.60,    5.87,  219.50,    0.00,    0.00,  258.01,  510.76,  579.94,   37.56,  406.10
01.07.2020 18:30:00,  980.05,   27.55,  302.44,   13.22,   41.27,   36.88,   15.22,   21.66,    9.72,   15.53, 1128.72,    4.99,    7.69,  225.60,    0.00,    0.00,  104.83,  217.72,  515.80,   37.64,  405.80
01.07.2020 18:40:00,  980.09,   27.14,  302.02,   13.34,   42.60,   36.00,   15.34,   20.67,    9.79,   15.65, 1130.26,    4.09,    6.13,  220.00,    0.00,    0.00,  136.43,  271.08,  488.30,   37.57,  406.30
01.07.2020 18:50:00,  980.08,   26.85,  301.73,   13.49,   43.74,   35.39,   15.48,   19.91,    9.88,   15.80, 1131.27,    3.89,    6.39,  216.10,    0.00,    0.00,   96.66,  201.48,  355.60,   37.38,  406.80
